n,sigma_r,sigma_t,p,q,rep_no,dq_mean_rerr,dq_min_rerr,dq_max_rerr,dq_mean_terr,dq_min_terr,dq_max_terr,mat_mean_rerr,mat_min_rerr,mat_max_rerr,mat_mean_terr,mat_min_terr,mat_max_terr
100,1,0.01,0.05,1.0,10,0.018301209693662092,0.00332545467338626,0.05008606409032256,0.014294054872770419,0.0017228906268608106,0.04813485694186821,0.018603038944556297,0.00165138374759128,0.0535418571013816,0.014182843088297347,0.0025215933677746375,0.05096060811815898
100,1,0.01,0.05,1.0,11,0.01770100459539172,0.0029529132581181915,0.04897612856626649,0.01523234752299932,0.0020672817610660455,0.04995800931109676,0.017179889150108898,0.002341712649579464,0.048800924026115126,0.015084474304909999,0.000959247604614773,0.049456469350083715
100,1,0.01,0.05,1.0,12,0.059730506966959425,0.009654035909705833,2.7634806416422015,0.039037072890776826,0.005198468866811274,1.641540215369146,0.31831755506889325,0.2581652687829306,2.229064397163514,0.19097995596928868,0.05106854944755814,9.483952002002374
100,1,0.01,0.05,1.0,13,0.017839581155525933,0.0025599552655808408,0.05390833649454215,0.01555072194465393,0.0015844593598595851,0.06575425038777,0.0179636027205245,0.0027173730743018745,0.054814893021918755,0.015337268915116916,0.0029780637568213204,0.06416649216599184
100,1,0.01,0.05,1.0,14,0.06976699877441811,0.01274633881652567,3.5337312124542284,0.06464489394743438,0.009787861232835225,3.055123526610198,0.10817394563589768,0.03394147022794553,3.8871192989596395,0.1969921927027193,0.0723171247341402,9.792306046911822
100,1,0.01,0.05,1.0,15,0.09672228639851134,0.024710730612622012,5.417391669766392,0.057263876220733645,0.014715602523304956,2.589811171127794,0.1653769882072569,0.08471819283167215,5.263262007781407,0.05631003363392946,0.008626832849740251,2.579861841584974
100,1,0.01,0.05,1.0,16,0.018663945786633603,0.004043544172924338,0.053498721884395466,0.016314414890290504,0.0027653736400189825,0.03963090806214149,0.021521162873392386,0.0036595344341937095,0.06380300519274532,0.01627583982164243,0.0026515465023945017,0.03958349745419617
100,1,0.01,0.05,1.0,17,0.0948448034791502,0.01832837752694784,5.2409860644862,0.07281770342646769,0.016607817231037193,3.4201721185291523,0.12888412379206518,0.04230796551672214,5.82942127688661,0.04922045802995157,0.007942292413060227,2.137549338096348
100,1,0.01,0.05,1.0,18,0.09048453312832004,0.017477092529963226,4.71435407643156,0.05432184453181043,0.009578445604621446,2.4295630953477376,0.12572616063734873,0.04206126833150551,5.011816962539128,0.03166989860758922,0.005588519937306848,1.2053150270478503
100,1,0.01,0.05,1.0,19,0.020841239276753146,0.004936474668100328,0.07705187432893687,0.016760309886972594,0.004316648118297679,0.05414628135135862,0.020479926688653994,0.0035122162051972653,0.07379459056850413,0.01659657246786193,0.0035542203702407173,0.053903857239515095
100,1,0.01,0.05,1.0,20,0.07689375642878676,0.016521563361993532,3.860224667226329,0.038413720387456364,0.005686964847296823,1.6045620529147642,0.1768772868678541,0.10442819820351504,2.694296232403587,0.10683999323959144,0.029109764275491706,5.218891222061282
100,1,0.01,0.05,1.0,21,0.018131066113807073,0.0021442403012816554,0.04984772385400272,0.014162211179710947,0.0036403448034271553,0.046624252303716564,0.018428667497499527,0.0030219934476116875,0.04689444933657365,0.014101138848432494,0.002746592437220348,0.04679878942331365
100,1,0.01,0.05,1.0,22,0.017862625458531296,0.0033888187021260097,0.05706260547544135,0.014508006592424351,0.0020315882165203407,0.05578086223634273,0.01754497024895993,0.001630101580234033,0.053345008760012504,0.014625576875996034,0.002656124546081264,0.05641437013928537
100,1,0.01,0.05,1.0,23,0.023946594377384237,0.0022478249070607623,0.07978583756171441,0.016058509907574278,0.0037102599783377945,0.051128175942917985,0.07013046441787683,0.04446708170272962,0.10667120079062413,0.015676226471300757,0.003162345257567829,0.05165041191515683
